96.4765,487.5
100.6711,406.9444
100.6711,441.6667
104.0268,368.0556
109.0604,322.2222
114.094,252.7778
120.8054,215.2778
127.5168,186.1111
137.5839,161.1111
149.3289,133.3333
161.0738,115.2778
172.8188,101.3889
191.2752,91.6667
206.3758,79.1667
231.5436,80.5556
258.3893,70.8333
286.9128,61.1111
303.6913,51.3889
327.1812,40.2778
354.0268,37.5
370.8054,34.7222
390.9396,31.9444
419.4631,31.9444
447.9866,27.7778
468.1208,27.7778
489.9329,26.3889
515.1007,25
541.9463,25
567.1141,25
588.9262,25
608.2215,22.2222